PRODUCER	ATRO
ALPHA_C	0.503507
Q_MIN	0.2
Q_MAX	5.5
DH_MIN	0
DH_MAX	10
QW/Q_design	ETA
0.503507E+00	0.331126E-02
0.619083E+00	10.26490E-02
0.808732E+00	20.19870E-02
0.968653E+00	30.46360E-02
0.118764E+01	41.39070E-02
0.143664E+01	50.99340E-02
0.172990E+01	61.25830E-02
0.208232E+01	71.85430E-02
0.227363E+01	76.15890E-02
0.246544E+01	78.80790E-02
0.265735E+01	81.12580E-02
0.287918E+01	82.45030E-02
0.327898E+01	83.11260E-02
0.361923E+01	84.76820E-02
0.401894E+01	85.76160E-02
0.443365E+01	86.09270E-02
0.487780E+01	87.08610E-02
0.542575E+01	87.74830E-02
0.589963E+01	88.41060E-02
0.634398E+01	88.74170E-02
0.675870E+01	89.07280E-02
0.717341E+01	89.40400E-02
0.755850E+01	89.73510E-02
0.794349E+01	90.39730E-02
0.832848E+01	91.05960E-02
0.875791E+01	91.72180E-02
0.908374E+01	92.05300E-02
0.942438E+01	92.38410E-02
0.972068E+01	92.38410E-02
1.000000E+01	92.38410E-02
