TURBINE 	Crossflow
ALPHA_C	0.800000E-01
Q_MIN	1
Q_MAX	10
DH_MIN	0
DH_MAX	60
QW/Q_design	ETA
0.800000E-01 	0.000000E+00
0.815348E-01 	0.434783E-01
0.839329E-01 	0.772947E-01
0.863309E-01 	0.115942E+00
0.935252E-01 	0.164251E+00
0.983213E-01 	0.202899E+00
0.107914E+00 	0.236715E+00
0.117506E+00 	0.275362E+00
0.127098E+00 	0.314010E+00
0.136691E+00 	0.357488E+00
0.148681E+00 	0.396135E+00
0.163070E+00 	0.434783E+00
0.175060E+00 	0.468599E+00
0.187050E+00 	0.497585E+00
0.203837E+00 	0.536232E+00
0.220624E+00 	0.565217E+00
0.235012E+00 	0.594203E+00
0.254197E+00 	0.628019E+00
0.270983E+00 	0.647343E+00
0.292566E+00 	0.676328E+00
0.316547E+00 	0.700483E+00
0.340528E+00 	0.714976E+00
0.369305E+00 	0.739130E+00
0.395683E+00 	0.748792E+00
0.417266E+00 	0.763285E+00
0.443645E+00 	0.777778E+00
0.467626E+00 	0.787440E+00
0.491607E+00 	0.797101E+00
0.510791E+00 	0.806763E+00
0.534772E+00 	0.816425E+00
0.558753E+00 	0.826087E+00
0.585132E+00 	0.830918E+00
0.606715E+00 	0.835749E+00
0.630695E+00 	0.840580E+00
0.659472E+00 	0.840580E+00
0.681055E+00 	0.840580E+00
0.702638E+00 	0.840580E+00
0.729017E+00 	0.835749E+00
0.748201E+00 	0.835749E+00
0.767386E+00 	0.830918E+00
0.793765E+00 	0.826087E+00
0.822542E+00 	0.826087E+00
0.841727E+00 	0.821256E+00
0.868106E+00 	0.816425E+00
0.889688E+00 	0.816425E+00
0.911271E+00 	0.816425E+00
0.930456E+00 	0.806763E+00
0.952038E+00 	0.801932E+00
0.973621E+00 	0.801932E+00
1.000000E+00 	0.801932E+00
