PRODUCER	ENERCA
ALPHA_C	0.297535
Q_MIN	0.4
Q_MAX	100
DH_MIN	0.5
DH_MAX	600
QW/Q_design	ETA
0.297535E+00 	0.303899E+00
0.301727E+00 	0.314897E+00
0.307308E+00 	0.327462E+00
0.312895E+00 	0.341601E+00
0.318488E+00 	0.357313E+00
0.325464E+00 	0.373020E+00
0.332440E+00 	0.388728E+00
0.339429E+00 	0.407581E+00
0.346418E+00 	0.426434E+00
0.353412E+00 	0.446860E+00
0.360420E+00 	0.470433E+00
0.368791E+00 	0.489281E+00
0.375780E+00 	0.508135E+00
0.384164E+00 	0.530129E+00
0.391158E+00 	0.550556E+00
0.398141E+00 	0.567836E+00
0.407895E+00 	0.586680E+00
0.417643E+00 	0.603951E+00
0.430169E+00 	0.624359E+00
0.442689E+00 	0.643194E+00
0.455215E+00 	0.663602E+00
0.469111E+00 	0.680859E+00
0.481619E+00 	0.696548E+00
0.496898E+00 	0.713801E+00
0.512171E+00 	0.729481E+00
0.528827E+00 	0.745156E+00
0.545489E+00 	0.762404E+00
0.562145E+00 	0.778079E+00
0.576029E+00 	0.792191E+00
0.592678E+00 	0.806293E+00
0.607945E+00 	0.820399E+00
0.624601E+00 	0.836075E+00
0.646788E+00 	0.851731E+00
0.673136E+00 	0.870521E+00
0.693940E+00 	0.886182E+00
0.716121E+00 	0.900266E+00
0.734153E+00 	0.914364E+00
0.754939E+00 	0.925306E+00
0.767421E+00 	0.934703E+00
0.782663E+00 	0.942517E+00
0.799276E+00 	0.947182E+00
0.817252E+00 	0.947122E+00
0.836612E+00 	0.947058E+00
0.855971E+00 	0.946994E+00
0.875324E+00 	0.945357E+00
0.894683E+00 	0.945293E+00
0.915425E+00 	0.945224E+00
0.936173E+00 	0.946728E+00
0.955533E+00 	0.946664E+00
0.973509E+00 	0.946605E+00
1.000000E+00 	0.944972E+00
