PRODUCER 	ENERCA
ALPHA_C	0.14
Q_MIN	2
Q_MAX	900
DH_MIN	2
DH_MAX	80
QW/Q_design	ETA
0.140000E+00 	0.301206E+00
0.144110E+00 	0.324382E+00
0.148817E+00 	0.347558E+00
0.153525E+00 	0.370734E+00
0.158219E+00 	0.391976E+00
0.164455E+00 	0.417074E+00
0.169176E+00 	0.442184E+00
0.173884E+00 	0.465360E+00
0.178605E+00 	0.490470E+00
0.186396E+00 	0.521359E+00
0.191090E+00 	0.542601E+00
0.197327E+00 	0.567699E+00
0.205078E+00 	0.592784E+00
0.211314E+00 	0.617882E+00
0.217523E+00 	0.639112E+00
0.225274E+00 	0.664197E+00
0.234540E+00 	0.689271E+00
0.243807E+00 	0.714344E+00
0.254561E+00 	0.735536E+00
0.265329E+00 	0.758663E+00
0.276083E+00 	0.779855E+00
0.286837E+00 	0.801047E+00
0.299093E+00 	0.820292E+00
0.314365E+00 	0.837579E+00
0.325065E+00 	0.851033E+00
0.338755E+00 	0.858660E+00
0.352458E+00 	0.868221E+00
0.367663E+00 	0.875835E+00
0.384369E+00 	0.881503E+00
0.404106E+00 	0.887145E+00
0.417782E+00 	0.892838E+00
0.432960E+00 	0.896583E+00
0.446595E+00 	0.896472E+00
0.461746E+00 	0.896349E+00
0.473867E+00 	0.896250E+00
0.489004E+00 	0.894192E+00
0.502639E+00 	0.894081E+00
0.517790E+00 	0.893958E+00
0.531453E+00 	0.897715E+00
0.549674E+00 	0.903370E+00
0.564838E+00 	0.905181E+00
0.578474E+00 	0.905070E+00
0.598183E+00 	0.906844E+00
0.619394E+00 	0.906672E+00
0.639090E+00 	0.906511E+00
0.657257E+00 	0.904429E+00
0.679997E+00 	0.906178E+00
0.701207E+00 	0.906005E+00
0.723933E+00 	0.905820E+00
0.742114E+00 	0.905672E+00
0.763325E+00 	0.905499E+00
0.786051E+00 	0.905314E+00
0.804232E+00 	0.905166E+00
0.826958E+00 	0.904981E+00
0.857259E+00 	0.904734E+00
0.884544E+00 	0.906446E+00
0.911815E+00 	0.906224E+00
0.939100E+00 	0.907936E+00
0.964856E+00 	0.907727E+00
1.000000E+00 	0.909390E+00
