PRODUCER 	ENERCA
ALPHA_C	0.153
Q_MIN	2
Q_MAX	900
DH_MIN	2
DH_MAX	80
QW/Q_design	ETA
0.153000E+00 	0.304964E+00
0.159247E+00 	0.324259E+00
0.166971E+00 	0.345476E+00
0.176224E+00 	0.368615E+00
0.183962E+00 	0.391766E+00
0.191686E+00 	0.412983E+00
0.202440E+00 	0.434175E+00
0.211652E+00 	0.451511E+00
0.223935E+00 	0.474625E+00
0.236191E+00 	0.493870E+00
0.248433E+00 	0.511181E+00
0.260675E+00 	0.528492E+00
0.274433E+00 	0.545791E+00
0.286675E+00 	0.563102E+00
0.300446E+00 	0.582335E+00
0.317220E+00 	0.597674E+00
0.332478E+00 	0.613026E+00
0.350767E+00 	0.628354E+00
0.370572E+00 	0.643668E+00
0.387332E+00 	0.657074E+00
0.404092E+00 	0.670479E+00
0.420839E+00 	0.681949E+00
0.436071E+00 	0.693433E+00
0.454347E+00 	0.706825E+00
0.472622E+00 	0.720218E+00
0.490911E+00 	0.735545E+00
0.510702E+00 	0.748926E+00
0.528977E+00 	0.762319E+00
0.547239E+00 	0.773777E+00
0.565501E+00 	0.785235E+00
0.583763E+00 	0.796694E+00
0.602052E+00 	0.812021E+00
0.621829E+00 	0.823467E+00
0.640077E+00 	0.832991E+00
0.659841E+00 	0.842503E+00
0.681106E+00 	0.850068E+00
0.703886E+00 	0.857620E+00
0.723649E+00 	0.867132E+00
0.746416E+00 	0.872750E+00
0.764651E+00 	0.880340E+00
0.784374E+00 	0.884048E+00
0.802582E+00 	0.887769E+00
0.822291E+00 	0.889543E+00
0.840485E+00 	0.891329E+00
0.858693E+00 	0.895050E+00
0.878389E+00 	0.894889E+00
0.895055E+00 	0.894754E+00
0.917794E+00 	0.896503E+00
0.942035E+00 	0.896305E+00
0.960216E+00 	0.896157E+00
0.979912E+00 	0.895997E+00
1.000000E+00 	0.895836E+00
