PRODUCER	ENERCA
ALPHA_C	0.3
Q_MIN	0.002
Q_MAX	0.04
DH_MIN	30
DH_MAX	100
QW/Q_design	ETA
0.300000E+00 	0.531221E+00
0.312246E+00 	0.548860E+00
0.325101E+00 	0.564738E+00
0.339242E+00 	0.584141E+00
0.357240E+00 	0.601789E+00
0.373951E+00 	0.621197E+00
0.388092E+00 	0.637077E+00
0.400947E+00 	0.652954E+00
0.416373E+00 	0.668837E+00
0.433085E+00 	0.686483E+00
0.447226E+00 	0.702363E+00
0.462652E+00 	0.718245E+00
0.476793E+00 	0.734125E+00
0.493505E+00 	0.748248E+00
0.506360E+00 	0.758841E+00
0.521786E+00 	0.769439E+00
0.534641E+00 	0.778270E+00
0.552639E+00 	0.788872E+00
0.569350E+00 	0.797711E+00
0.586062E+00 	0.806550E+00
0.604060E+00 	0.817152E+00
0.622057E+00 	0.824232E+00
0.640054E+00 	0.833072E+00
0.656766E+00 	0.841911E+00
0.674763E+00 	0.848990E+00
0.692760E+00 	0.854308E+00
0.713329E+00 	0.859631E+00
0.730041E+00 	0.863185E+00
0.748038E+00 	0.866742E+00
0.768606E+00 	0.870303E+00
0.789174E+00 	0.873864E+00
0.807172E+00 	0.875659E+00
0.825169E+00 	0.875692E+00
0.848309E+00 	0.875735E+00
0.865020E+00 	0.875766E+00
0.881732E+00 	0.875797E+00
0.899729E+00 	0.874069E+00
0.917727E+00 	0.874102E+00
0.935724E+00 	0.875897E+00
0.955007E+00 	0.874171E+00
0.973004E+00 	0.875966E+00
0.988430E+00 	0.875995E+00
0.100000E+01 	0.876019E+00
