PRODUCER	ENERCA
ALPHA_C	0.3
Q_MIN	0.2
Q_MAX	3
DH_MIN	15
DH_MAX	100
QW/Q_design	ETA
0.300000E+00 	0.303894E+00
0.304946E+00 	0.322751E+00
0.313348E+00 	0.338454E+00
0.318999E+00 	0.357311E+00
0.328814E+00 	0.377728E+00
0.335850E+00 	0.396581E+00
0.345656E+00 	0.415425E+00
0.354077E+00 	0.434274E+00
0.361113E+00 	0.453127E+00
0.370947E+00 	0.476690E+00
0.377992E+00 	0.497116E+00
0.386422E+00 	0.517538E+00
0.394853E+00 	0.537959E+00
0.403273E+00 	0.556808E+00
0.414473E+00 	0.577220E+00
0.427058E+00 	0.597628E+00
0.441037E+00 	0.619604E+00
0.453603E+00 	0.636866E+00
0.466178E+00 	0.655700E+00
0.482908E+00 	0.674521E+00
0.498272E+00 	0.696493E+00
0.510819E+00 	0.710609E+00
0.524770E+00 	0.727866E+00
0.538711E+00 	0.743550E+00
0.552615E+00 	0.752942E+00
0.567923E+00 	0.765476E+00
0.583231E+00 	0.778009E+00
0.597144E+00	0.788975E+00
0.609673E+00 	0.799944E+00
0.623596E+00 	0.812482E+00
0.636124E+00 	0.823452E+00
0.651441E+00 	0.837559E+00
0.666739E+00 	0.848519E+00
0.682047E+00 	0.861053E+00
0.695942E+00 	0.868872E+00
0.711221E+00 	0.876687E+00
0.727895E+00 	0.886070E+00
0.743194E+00 	0.897030E+00
0.759867E+00 	0.906413E+00
0.776541E+00 	0.915796E+00
0.793205E+00 	0.923606E+00
0.813996E+00 	0.926683E+00
0.830633E+00 	0.929774E+00
0.848654E+00 	0.932861E+00
0.866657E+00 	0.932801E+00
0.886053E+00 	0.934310E+00
0.905441E+00 	0.934246E+00
0.923443E+00 	0.934186E+00
0.938676E+00 	0.934136E+00
0.952524E+00 	0.934090E+00
0.969142E+00 	0.934035E+00
0.984375E+00 	0.933984E+00
1.000000E+00 	0.933943E+00
