PRODUCER	ENERCA
ALPHA_C	0.18
Q_MIN	0.004
Q_MAX	1
DH_MIN	50
DH_MAX	500
QW/Q_design	ETA
0.180000E+00 	0.552973E+00
0.195264E+00 	0.574054E+00
0.208119E+00 	0.589865E+00
0.217118E+00 	0.602162E+00
0.229973E+00 	0.617973E+00
0.244114E+00 	0.635541E+00
0.258254E+00 	0.651351E+00
0.268539E+00 	0.667162E+00
0.280108E+00 	0.681216E+00
0.292963E+00 	0.695270E+00
0.304533E+00 	0.707568E+00
0.319959E+00 	0.723378E+00
0.335386E+00 	0.733919E+00
0.346955E+00 	0.746216E+00
0.361096E+00 	0.756757E+00
0.376522E+00 	0.767297E+00
0.393234E+00 	0.777838E+00
0.409946E+00 	0.786622E+00
0.427943E+00 	0.797162E+00
0.445940E+00 	0.805946E+00
0.462652E+00 	0.814730E+00
0.480650E+00 	0.821757E+00
0.496076E+00 	0.828784E+00
0.516644E+00 	0.835811E+00
0.535927E+00 	0.842838E+00
0.553924E+00 	0.849865E+00
0.571922E+00 	0.855135E+00
0.591204E+00 	0.858649E+00
0.609202E+00 	0.862162E+00
0.627199E+00 	0.865676E+00
0.645196E+00 	0.870946E+00
0.663194E+00 	0.872703E+00
0.682476E+00 	0.877973E+00
0.700474E+00 	0.879730E+00
0.718471E+00 	0.881486E+00
0.733897E+00 	0.885000E+00
0.750609E+00 	0.885000E+00
0.767321E+00 	0.888514E+00
0.786604E+00 	0.888514E+00
0.804601E+00 	0.888514E+00
0.822598E+00 	0.890270E+00
0.840595E+00 	0.890270E+00
0.858593E+00 	0.890270E+00
0.877876E+00 	0.890270E+00
0.894587E+00 	0.890270E+00
0.912585E+00 	0.890270E+00
0.937009E+00 	0.890270E+00
0.960149E+00 	0.890270E+00
0.983288E+00 	0.890270E+00
0.100000E+01 	0.890270E+00
