PRODUCER	ENERCA
ALPHA_C	0.100000E-01
Q_MIN	0.02
Q_MAX	80
DH_MIN	50
DH_MAX	1800
QW/Q_design	ETA
0.100000E-01 	0.502575E+00
0.110419E+00 	0.527236E+00
0.120704E+00 	0.546613E+00
0.130988E+00 	0.567751E+00
0.139986E+00 	0.588889E+00
0.148985E+00 	0.608266E+00
0.159269E+00 	0.629404E+00
0.169553E+00 	0.648781E+00
0.179838E+00 	0.668157E+00
0.192693E+00 	0.687534E+00
0.202977E+00 	0.703388E+00
0.213261E+00 	0.721003E+00
0.226116E+00 	0.735095E+00
0.238972E+00 	0.749187E+00
0.251827E+00 	0.761518E+00
0.264682E+00 	0.775610E+00
0.280108E+00 	0.787940E+00
0.298106E+00 	0.802033E+00
0.310961E+00 	0.812602E+00
0.323816E+00 	0.819648E+00
0.340528E+00 	0.824932E+00
0.357240E+00 	0.830217E+00
0.376522E+00 	0.837263E+00
0.395805E+00 	0.840786E+00
0.417659E+00 	0.846070E+00
0.438227E+00 	0.849594E+00
0.461367E+00 	0.854878E+00
0.481935E+00 	0.858401E+00
0.501218E+00 	0.861924E+00
0.521786E+00 	0.863686E+00
0.539783E+00 	0.868970E+00
0.562923E+00 	0.872493E+00
0.587348E+00 	0.876016E+00
0.610487E+00 	0.879539E+00
0.633627E+00 	0.883062E+00
0.652909E+00 	0.886585E+00
0.676049E+00 	0.890108E+00
0.692760E+00 	0.891870E+00
0.709472E+00 	0.893631E+00
0.730041E+00 	0.895393E+00
0.753180E+00 	0.897154E+00
0.773748E+00 	0.898916E+00
0.795602E+00 	0.900678E+00
0.818742E+00 	0.902439E+00
0.843166E+00 	0.902439E+00
0.867591E+00 	0.902439E+00
0.893302E+00 	0.902439E+00
0.911299E+00 	0.902439E+00
0.931867E+00 	0.902439E+00
0.951150E+00 	0.902439E+00
0.970433E+00 	0.902439E+00
0.100000E+01 	0.902439E+00
